"shop,""aisle"",""reference_id"",""reference_name"",""last_control"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3560071085674"",""70G 24M JAMBON PARME MDD"",""2020-07-22 06:13:00.518+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3560071004590"",""RDF JBN AUVERGNE IGP 100G"",""2020-07-22 06:13:58.073+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3560070581382"",""RDF SCISSE SECH.PERCH.320"",""2020-07-22 06:16:19.374+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3270190027034"",""225G CHORIZO DOUX MDD"",""2020-07-22 06:16:56.29+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""8008410433113"",""ROTOLINO JAMB CRU /MOZ 6G"",""2020-08-06 04:28:56+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3560071014537"",""240G 6T JB SUP AC PSA MDD"",""2020-08-06 03:00:36+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""7613035989443"",""BONPARIS CSN TORCHON 4T"",""2020-08-06 03:01:25+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3262330002018"",""150G TARTINABLE THON"",""2020-07-24 06:29:54.113+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3560070719266"",""MDD JAMBON SUP.TSR X4TR"",""2020-08-06 03:01:44+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3302749897024"",""180G 6T F JBN SUP ETOUFF"",""2020-08-06 03:02:04+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3095754220016"",""FM MICHON JB FIN ITAL TSR"",""2020-08-06 03:02:17+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3529351442507"",""ADER CHORIZO PLIS 250G"",""2020-08-06 03:06:37+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3560070955107"",""MDD JAMBON BROCHE DD 4TR"",""2020-08-06 03:07:04+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3608580007135"",""ANDROS NECTAR ABRICO.75CL"",""2020-08-06 03:09:33+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3270190027041"",""MDD CHORIZO FORT"",""2020-08-06 03:10:50+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3560071018900"",""MINI SCISSON PARMESAN 75G"",""2020-08-06 03:11:21+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3560071083984"",""MDD 16 SURIMIS FOURRE AFH"",""2020-07-24 06:32:05.048+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3302748269020"",""BAT SURIMI COEUR SAISON"",""2020-07-24 06:35:19.734+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3560071099251"",""400G 24 BATONNET SURIMI P"",""2020-07-24 06:36:44.082+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3392780004123"",""180G 6TR TRUITE OVIVE"",""2020-07-24 06:37:41.819+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3375220000640"",""DIOTS SAVOIE FUME 2X4 LT"",""2020-08-06 06:33:31.383+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3392780003546"",""LANDVIKA 4T MINI BH 120G"",""2020-07-24 06:40:07.095+00"""
"Magasin Exercice,""Halal & Casher"",""3512690001139"",""ISLA DELICE SCISSON TRAD."",""2020-07-24 04:29:44.105+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560070487394"",""500G SAUCISSES FUMEES X4"",""2020-08-06 06:33:36.247+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3560070906369"",""FROM. FRAIS FRUITS 12X50G"",""2020-07-24 09:02:48.983+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560071243012"",""150G TERRINE CAMPAGNE MDD"",""2020-08-06 06:31:48.404+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560071002756"",""TERR.CAMP POIVRE VRT 150G"",""2020-08-06 06:31:24.553+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3270190203421"",""180G TERRINE CAMPAGNE MDD"",""2020-08-06 06:31:40.523+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3023290007310"",""PETIT NESQUIK CHOCO 6X60G"",""2020-07-24 09:03:43.986+00"""
